Fecha,Equipo_L,Equipo_V,manager_name_L,manager_name_V,formation_L,formation_V,hora
2026-01-11,Levante,Espanyol,luís castro,manolo gonzález,4-2-3-1,4-4-2,15:15:00
2026-01-23,Levante,Elche,luís castro,eder sarabia,4-2-3-1,4-3-3 ATTACKING,20:00:00
2026-01-31,Levante,Atletico Madrid,luís castro,diego simeone,4-2-3-1,4-4-2,17:30:00
2026-02-15,Levante,Valencia,luís castro,carlos corberán,4-2-3-1,4-4-2,17:30:00
2026-02-18,Levante,Villarreal,luís castro,marcelino,4-2-3-1,4-4-2,19:00:00
2026-02-27,Levante,Alaves,luís castro,eduardo coudet,4-1-4-1,4-4-2 DOUBLE 6,20:00:00
2026-03-07,Levante,Girona,luís castro,míchel,4-4-2,4-2-3-1,15:15:00
2026-01-04,Mallorca,Girona,jagoba arrasate,míchel,4-2-3-1,4-1-4-1,17:30:00
2026-01-17,Mallorca,Athletic Club,jagoba arrasate,ernesto valverde,4-4-2,4-2-3-1,15:15:00
2026-02-02,Mallorca,Sevilla,jagoba arrasate,matías almeyda,4-2-3-1,5-3-2,20:00:00
2026-02-15,Mallorca,Real Betis,jagoba arrasate,manuel pellegrini,4-2-3-1,4-3-3 ATTACKING,20:00:00
2026-02-28,Mallorca,Real Sociedad,gustavo siviero,pellegrino matarazzo,4-3-3 ATTACKING,4-3-3 ATTACKING,17:30:00
2026-03-15,Mallorca,Espanyol,martín demichelis,manolo gonzález,4-3-1-2,4-2-3-1,13:00:00
2026-01-03,Osasuna,Athletic Club,alessio lisci,ernesto valverde,4-2-3-1,4-2-3-1,15:15:00
2026-01-17,Osasuna,Real Oviedo,alessio lisci,guillermo almada,4-3-3 ATTACKING,4-2-3-1,17:30:00
2026-01-31,Osasuna,Villarreal,alessio lisci,marcelino,4-2-3-1,4-4-2,15:15:00
2026-02-21,Osasuna,Real Madrid,alessio lisci,álvaro arbeloa,4-2-3-1,4-4-2 DOUBLE 6,17:30:00
2026-03-07,Osasuna,Mallorca,alessio lisci,martín demichelis,4-2-3-1,4-3-1-2,13:00:00
2026-03-21,Osasuna,Girona,alessio lisci,míchel,4-2-3-1,4-2-3-1,17:30:00
2026-01-02,Rayo Vallecano,Getafe,iñigo pérez,josé bordalás,4-2-3-1,4-2-3-1,20:00:00
2026-01-11,Rayo Vallecano,Mallorca,iñigo pérez,jagoba arrasate,4-2-3-1,4-4-2,13:00:00
2026-01-24,Rayo Vallecano,Osasuna,iñigo pérez,alessio lisci,4-2-3-1,4-2-3-1,13:00:00
2026-02-15,Rayo Vallecano,Atletico Madrid,iñigo pérez,diego simeone,4-1-4-1,4-1-4-1,15:15:00
2026-02-28,Rayo Vallecano,Athletic Club,iñigo pérez,ernesto valverde,4-2-3-1,4-2-3-1,13:00:00
2026-03-04,Rayo Vallecano,Real Oviedo,iñigo pérez,guillermo almada,4-2-3-1,4-2-3-1,18:00:00
2026-03-16,Rayo Vallecano,Levante,iñigo pérez,luís castro,4-3-3 ATTACKING,4-3-3 ATTACKING,20:00:00
2026-01-17,Real Betis,Villarreal,manuel pellegrini,marcelino,4-2-3-1,4-4-2,20:00:00
2026-02-01,Real Betis,Valencia,manuel pellegrini,carlos corberán,4-2-3-1,4-4-2,15:15:00
2026-02-21,Real Betis,Rayo Vallecano,manuel pellegrini,iñigo pérez,4-3-3 ATTACKING,4-2-3-1,15:15:00
