,home_team,away_team,Time,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTR,FTR,FTHG,FTAG,date,away_expected_points,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_expected_points,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions,game_id,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,referee,home_club_formation,away_club_formation,home_club_id,away_club_id,home_xi_market_value,home_xi_average_age,home_xi_average_height,home_xi_total_caps,away_xi_market_value,away_xi_average_age,away_xi_average_height,away_xi_total_caps
12,Celta Vigo,Valencia,20:00,11,9,6,1,6,4,8,12,1,2,0,0,H,H,1,0,2019-08-24,0.2722,0.675601,0.675601,-0.958149,10.689655172413794,11,2.593,2.37702,1.63375,0.958149,18.916666666666668,8,3208641.0,12.0,16.0,Fran Escribá,Marcelino,Alejandro Hernández Hernández,4-4-2,4-4-2,940.0,1049.0,126000000.0,25.307199303092524,178.0909090909091,191.0,269000000.0,28.02389397050588,182.63636363636363,192.0
13,Getafe,Athletic Club,20:00,6,4,2,2,4,6,15,11,2,1,0,0,D,D,1,1,2019-08-24,1.4973,0.454246,0.454246,0.1884349999999999,5.421052631578948,2,0.978,0.265811,0.265811,-0.1884349999999999,7.0,4,3208642.0,15.0,5.0,Pepe Bordalás,Gaizka Garitano,Mateu Lahoz,4-4-2,4-2-3-1,3709.0,621.0,107000000.0,28.023893970505878,182.0909090909091,237.0,155500000.0,27.593304710347834,181.0,85.0
14,Osasuna,Eibar,16:00,6,12,2,0,6,6,15,12,4,4,0,0,D,D,0,0,2019-08-24,1.1032,0.65217,0.65217,-0.2042629999999999,4.541666666666667,4,1.5364000000000002,0.856433,0.856433,0.2042629999999999,4.125,6,3208647.0,8.0,17.0,Jagoba Arrasate,José Luis Mendilibar,Medié Jiménez,4-4-2 double 6,4-4-2 double 6,331.0,1533.0,20400000.0,26.60469168066704,180.27272727272728,58.0,44000000.0,29.305208138883703,179.54545454545453,20.0
15,Real Madrid,Real Valladolid,18:00,22,9,4,2,4,3,12,11,2,2,0,0,D,D,1,1,2019-08-24,1.0106,1.22209,1.22209,-0.5058900000000002,18.944444444444443,2,1.7207,1.72798,1.72798,0.5058900000000002,7.72,13,3208648.0,3.0,4.0,Zinédine Zidane,Sergio,Pablo González Fuertes,4-3-3 Attacking,4-4-2,418.0,366.0,555000000.0,29.117540912202102,183.36363636363637,596.0,47300000.0,27.13359467363574,180.72727272727272,72.0
16,Alaves,Espanyol,16:00,10,5,2,1,3,5,13,10,3,1,0,0,D,D,0,0,2019-08-25,0.7070000000000001,0.159461,0.159461,-0.5164580000000001,8.722222222222221,1,1.8239,0.675919,0.675919,0.5164580000000001,14.851851851851851,5,3208639.0,7.0,18.0,Asier Garitano,David Gallego,Eduardo Prieto Iglesias,4-1-4-1,4-1-4-1,1108.0,714.0,46800000.0,27.63088793478937,180.36363636363637,21.0,87300000.0,27.15325742019787,179.63636363636363,14.0
17,Mallorca,Real Sociedad,16:00,12,12,4,4,5,5,16,12,1,2,0,0,D,A,0,1,2019-08-25,1.9997000000000005,1.59382,1.59382,0.721825,8.176470588235293,7,0.7412000000000001,0.871995,0.871995,-0.721825,16.714285714285715,6,3208646.0,11.0,6.0,Vicente Moreno,Imanol Alguacil,Valentin Pizarro Gomez,4-2-3-1,4-2-3-1,237.0,681.0,18600000.0,27.442722917055566,180.8181818181818,53.0,218000000.0,25.24970443656275,182.27272727272728,206.0
18,Leganes,Atletico Madrid,18:00,10,6,4,4,9,4,12,13,4,5,0,0,D,A,0,1,2019-08-25,2.2734,1.39426,1.39426,1.014382,10.285714285714286,7,0.4832999999999999,0.379878,0.379878,-1.014382,10.851851851851851,10,3208644.0,19.0,2.0,Mauricio Pellegrino,Diego Simeone,De Burgos Bengoetxea,5-3-2,4-4-2 double 6,1244.0,13.0,59000000.0,27.11567419575633,181.0,353.0,665000000.0,25.632754651235143,182.0909090909091,629.0
19,Barcelona,Real Betis,20:00,20,4,7,3,11,0,14,12,1,1,0,0,D,H,5,2,2019-08-25,0.063,0.145785,0.145785,-2.705095,21.058823529411764,0,2.8905,2.85088,2.85088,2.705095,4.978260869565218,23,3208640.0,9.0,20.0,Ernesto Valverde,Rubi,González González,4-3-3 Attacking,4-2-3-1,131.0,150.0,615000000.0,27.0621616576442,180.45454545454547,558.0,195500000.0,26.575322008586895,180.8181818181818,324.0
20,Sevilla,Celta Vigo,19:00,19,2,5,1,9,1,16,9,4,2,0,0,D,D,1,1,2019-08-30,0.5286,0.454026,0.454026,-1.053844,14.894736842105264,2,2.2086,1.50787,1.50787,1.053844,5.757575757575758,10,3208656.0,2.0,8.0,Julen Lopetegui,Fran Escribá,Carlos del Cerro Grande,4-3-3 Attacking,4-4-2,368.0,940.0,119500000.0,28.97392819364072,180.63636363636363,234.0,126000000.0,25.323626407815315,178.0909090909091,191.0
21,Athletic Club,Real Sociedad,21:00,15,2,5,2,3,0,17,17,2,3,0,0,H,H,2,0,2019-08-30,0.4546,0.217717,0.217717,-0.946793,8.277777777777779,5,2.254,1.16451,1.16451,0.946793,9.085714285714284,5,3208649.0,3.0,10.0,Gaizka Garitano,Imanol Alguacil,Estrada Fernández,4-2-3-1,4-2-3-1,621.0,681.0,168000000.0,26.619127621181008,179.72727272727272,107.0,239000000.0,25.557837097878167,182.1818181818182,189.0
22,Real Betis,Leganes,20:00,17,19,5,7,11,8,14,15,4,2,0,0,D,H,2,1,2019-08-31,0.6577999999999999,1.44559,1.44559,-1.07885,14.944444444444445,5,2.138,2.52444,2.52444,1.07885,4.047619047619048,16,3208651.0,15.0,20.0,Rubi,Mauricio Pellegrino,Guillermo Cuadra Fernández,4-2-3-1,5-3-2,150.0,1244.0,181500000.0,28.168751166697778,181.9090909090909,426.0,67300000.0,27.384979154999687,181.0909090909091,260.0
23,Levante,Real Valladolid,18:00,16,15,3,4,6,6,9,10,2,2,0,0,D,H,2,0,2019-08-31,0.2657,1.02789,1.02789,-1.7506800000000002,8.789473684210526,7,2.6117,2.77857,2.77857,1.7506800000000002,8.80952380952381,8,3208654.0,4.0,13.0,Paco López,Sergio,Adrián Cordero Vega,4-4-2 double 6,4-4-2,3368.0,366.0,61500000.0,27.985564059486034,181.27272727272728,35.0,47500000.0,26.291083317777364,181.0,72.0
24,Osasuna,Barcelona,16:00,15,8,5,4,3,2,16,9,3,4,0,0,H,D,2,2,2019-08-31,0.3039,0.360967,0.360967,-0.626255,4.1,2,2.5305,1.7305,0.987222,0.626255,12.0,5,3208655.0,6.0,11.0,Jagoba Arrasate,Ernesto Valverde,Juan Martínez Munuera,4-4-2 double 6,4-3-3 Attacking,331.0,131.0,22600000.0,27.89845062535001,178.36363636363637,55.0,615000000.0,27.078588762366994,180.45454545454547,558.0
25,Getafe,Alaves,18:00,15,5,1,1,4,2,11,17,3,1,0,0,D,D,1,1,2019-08-31,1.4427,1.01227,1.01227,0.0401359999999999,11.625,3,1.1427,0.972134,0.972134,-0.0401359999999999,5.583333333333333,7,3208653.0,17.0,7.0,Pepe Bordalás,Asier Garitano,Mario Melero López,4-4-2,5-4-1,3709.0,1108.0,94500000.0,29.010266940451743,182.54545454545453,195.0,41800000.0,27.481052828075416,181.8181818181818,23.0
26,Valencia,Mallorca,16:00,9,12,4,1,7,4,6,19,0,1,0,0,H,H,2,0,2019-09-01,0.5479,1.16388,1.16388,0.559992,10.04,7,2.2183,2.09044,0.603888,-0.559992,13.421052631578949,5,3208657.0,9.0,14.0,Marcelino,Vicente Moreno,Javier Alberola Rojas,4-4-2 double 6,4-4-1-1,1049.0,237.0,289000000.0,27.47458154439674,181.27272727272728,248.0,18600000.0,27.46188787256549,180.8181818181818,53.0
27,Atletico Madrid,Eibar,18:00,7,6,3,2,1,1,9,15,0,3,0,0,A,H,3,2,2019-09-01,0.5316,0.847966,0.847966,-0.963434,10.44,3,2.2272000000000003,1.8114,1.8114,0.963434,7.428571428571429,7,3208650.0,1.0,18.0,Diego Simeone,José Luis Mendilibar,Santiago Jaime Latre,4-4-2 double 6,4-2-3-1,13.0,1533.0,600000000.0,25.212370107647313,180.45454545454547,450.0,34300000.0,30.45709663368801,179.0909090909091,55.0
28,Espanyol,Granada,18:00,15,14,3,6,8,6,6,13,2,3,0,0,A,A,0,3,2019-09-01,1.5623,1.58505,1.58505,0.24181,14.75,4,1.1576,1.34324,1.34324,-0.24181,15.77777777777778,10,3208652.0,19.0,12.0,David Gallego,Diego Martínez,César Soto Grado,4-3-3 Attacking,4-2-3-1,714.0,16795.0,97000000.0,27.675191338435692,179.63636363636363,13.0,18900000.0,28.205836600087114,182.54545454545453,99.0
29,Villarreal,Real Madrid,20:00,10,17,5,5,1,8,8,14,1,4,0,1,D,D,2,2,2019-09-01,1.0699,1.76659,1.76659,-0.3716600000000001,8.548387096774194,7,1.6624,2.13825,2.13825,0.3716600000000001,18.31578947368421,4,3208658.0,16.0,5.0,Javier Calleja,Zinédine Zidane,Jesús Gil Manzano,4-4-2 double 6,4-4-2 double 6,1050.0,418.0,107500000.0,27.935287163213243,181.0909090909091,303.0,545000000.0,27.98357289527721,183.8181818181818,504.0
30,Mallorca,Athletic Club,20:00,10,11,1,5,4,6,15,18,4,3,0,0,D,D,0,0,2019-09-13,0.7591,1.39203,0.648757,-0.7984629999999999,5.833333333333333,3,1.9909,2.1905,1.44722,0.7984629999999999,9.421052631578949,5,3208665.0,15.0,4.0,Vicente Moreno,Gaizka Garitano,Pablo González Fuertes,4-2-3-1,4-2-3-1,237.0,621.0,20200000.0,27.687636114740837,181.1818181818182,105.0,168000000.0,26.657457532200855,179.72727272727272,107.0
31,Real Sociedad,Atletico Madrid,17:30,14,12,5,2,5,5,13,10,1,3,0,0,D,H,2,0,2019-09-14,0.6084,1.06745,1.06745,-1.02106,14.36842105263158,14,2.1774,2.08851,2.08851,1.02106,9.571428571428571,6,3208667.0,7.0,2.0,Imanol Alguacil,Diego Simeone,Mateu Lahoz,4-2-3-1,4-4-2 double 6,681.0,13.0,197500000.0,25.807728206085496,181.45454545454547,233.0,598000000.0,26.128305643706053,180.72727272727272,500.0
32,Barcelona,Valencia,20:00,17,9,10,3,2,5,11,11,1,4,0,0,H,H,5,2,2019-09-14,0.4851999999999999,1.27064,1.27064,-1.34005,19.294117647058822,8,2.3251,2.61069,2.61069,1.34005,8.161290322580646,12,3208660.0,5.0,13.0,Ernesto Valverde,Albert Celades,José María Sánchez Martínez,4-3-3 Attacking,4-4-2 double 6,131.0,1049.0,645000000.0,25.823657519756082,180.27272727272728,579.0,279000000.0,28.061477194947418,180.63636363636363,230.0
