,FTR,date,Time,game_id,HTR,team,club_id,manager,formation,xi_market_value,xi_average_age,xi_average_height,xi_total_caps,is_home,shots_last_5,shots_target_last_5,corners_last_5,fouls_last_5,yellow_cards_last_5,red_cards_last_5,xp_last_5,xg_last_5,np_xg_last_5,ppda_last_5,deep_completions_last_5,xi_market_value_last_5,xi_average_age_last_5,xi_average_height_last_5,xi_total_caps_last_5,shots_ewm_5,shots_target_ewm_5,corners_ewm_5,fouls_ewm_5,yellow_cards_ewm_5,red_cards_ewm_5,xp_ewm_5,xg_ewm_5,np_xg_ewm_5,ppda_ewm_5,deep_completions_ewm_5,xi_market_value_ewm_5,xi_average_age_ewm_5,xi_average_height_ewm_5,xi_total_caps_ewm_5,position_last
99,D,2019-10-29,18:00,3208742.0,D,Alaves,1108.0,Asier Garitano,4-4-2 double 6,65800000.0,28.247899943998508,180.8181818181818,22.0,1,10.0,3.6,4.4,17.0,3.2,0.2,1.2508200000000003,1.2371338,1.0885558,11.667417027417027,4.2,54100000.0,27.63740899757327,181.45454545454544,33.0,10.475415769065059,3.463110728134425,4.165790607496769,16.197414907367513,3.1352692804825506,0.06700560103403708,1.1136818836708318,1.1735412214390348,1.0988745350107711,11.914893538076647,3.798897027143474,57842960.792761736,27.986923678910724,181.3012839293408,28.115226195605345,13.0
116,H,2019-11-03,15:00,3208757.0,H,Alaves,1108.0,Asier Garitano,4-4-2,67800000.0,28.32082633314666,180.9090909090909,22.0,0,11.2,4.2,4.6,17.6,3.0,0.0,1.3226600000000002,1.2864962,1.1379182,10.586298146298144,4.4,56340000.0,28.102296061228298,181.36363636363637,30.4,10.652322400470592,3.3069349339516503,4.10988069606337,18.491464828468466,3.0896521396467147,0.04440916281646384,0.8652153964328753,0.9270939659906682,0.8776072815435839,10.335256554300637,3.1922512407266757,60526329.67635451,28.0749332476528,181.13836639947584,26.05297574514989,16.0
122,H,2019-11-09,12:00,3208762.0,H,Alaves,1108.0,Asier Garitano,4-4-2 double 6,62300000.0,28.864911953207642,181.27272727272728,17.0,1,11.2,3.6,4.0,17.8,3.0,0.0,0.80988,1.2098582,1.0612026,10.593032153032153,4.4,62000000.0,28.189708169995647,181.27272727272728,24.6,10.769115095430886,3.2038286131469915,3.065202097298733,17.990448378196437,2.7236135736567153,0.029491130095099048,0.6366486209217876,1.1054237601987316,0.8228770293375306,9.501025277196096,4.135436953038335,62969718.49548209,28.15753424399482,181.0613476256272,24.6914903905413,16.0
137,A,2019-11-24,15:00,3208773.0,D,Alaves,1108.0,Asier Garitano,4-2-3-1,55300000.0,26.849355982826207,180.1818181818182,38.0,0,12.0,3.8,3.8,18.8,3.0,0.0,1.16342,1.4851182,1.1878066,9.204672364672366,4.8,65500000.0,28.37876921162342,180.9272727272727,21.0,11.851638988204632,3.805644678781261,4.048520582473957,18.99881346496601,2.816218206440704,0.019609981773258334,1.4052483234991309,1.6901201452742554,1.2532024644193953,8.985689927002214,5.095222904035039,62745326.016577445,28.39454462785452,181.13217141700036,22.114418670336818,14.0
142,A,2019-11-30,12:00,3208782.0,D,Alaves,1108.0,Asier Garitano,4-4-2,63000000.0,28.53636985875179,180.1818181818182,17.0,1,11.0,3.8,3.8,17.0,2.4,0.0,0.99738,1.3637962,1.0664846000000001,9.086616809116808,4.4,63400000.0,28.1039885508058,180.8,24.2,10.228867207864752,4.205131556449744,4.032291462336243,16.32337763828821,2.543210285770631,0.01305085296915927,1.3584385359958964,1.6186619844874268,1.3278841307191627,9.053191176012156,5.397851921239211,60255020.16642943,27.877711340268654,180.8142981343514,27.42781341358646,13.0
151,H,2019-12-07,15:00,3208795.0,D,Alaves,1108.0,Asier Garitano,4-4-2,53100000.0,29.058552672515713,182.45454545454547,12.0,0,10.2,3.6,4.8,18.0,2.8,0.0,1.05446,1.4670794,1.0211118000000001,9.979950142450141,4.6,62840000.0,28.16387281438616,180.6727272727273,23.2,9.484210931452958,3.468405273237429,5.6919844798936365,16.88353095761364,3.029918332030724,0.008690611344301706,1.0765486170887275,1.4479548194974918,1.0059976751495638,11.93092142535245,4.262642183063465,61172107.75894255,28.09776671102824,180.60298892548664,23.94391958613981,14.0
159,D,2019-12-13,20:00,3208802.0,A,Alaves,1108.0,Asier Garitano,4-4-2 double 6,60800000.0,27.79217223570406,182.0909090909091,33.0,1,9.0,3.2,4.4,16.8,3.0,0.4,1.0001,1.4532659999999997,1.0072984,10.451443355119826,4.6,60300000.0,28.3260033600896,181.0,21.2,7.987194838857981,2.6443489401234523,4.459446522937887,16.922413167529,3.353771935324724,0.6734724973264463,0.7522386693317088,1.0893172091707573,0.7949037391592624,11.148835370087154,3.5072781264639414,58477302.49642955,28.418517020920564,181.2211154950707,19.956542519709497,15.0
172,H,2019-12-21,15:00,3208812.0,H,Alaves,1108.0,Asier Garitano,4-4-1-1,52700000.0,27.97560823844191,179.27272727272728,21.0,0,8.8,3.2,4.6,16.2,3.0,0.4,1.3514399999999998,1.474224,1.1769120000000002,9.602501556178026,4.2,58900000.0,28.22027254060108,181.23636363636365,23.4,8.658811556156149,2.7630197394383633,3.6387980905934767,15.94728573042965,2.902056150446018,0.44875358435011364,1.1490618722590644,1.2472884738398322,1.0511125342534349,8.632383770001839,3.6716856178763413,59252321.61042046,28.209523305748817,181.51134126100254,24.308779022402383,14.0
188,D,2020-01-05,15:00,3208822.0,H,Alaves,1108.0,Asier Garitano,4-4-2 double 6,58300000.0,28.997075477568288,180.9090909090909,20.0,1,7.0,2.8,4.2,14.2,3.2,0.4,0.85634,0.9905564,0.8419004000000001,12.400385154061627,2.8,56980000.0,28.042411797647937,180.83636363636364,24.2,7.438381913219514,2.842066645883612,3.7592802500485947,14.297073888462872,3.268285238692195,0.2990677729030999,0.9175846215250766,0.9753956758238391,0.8446559928545256,13.075389143660981,2.4469617153673915,57066735.55312361,28.13149882220018,180.7646313448313,23.205105892784,15.0
193,A,2020-01-18,12:00,3208837.0,D,Alaves,1108.0,Asier Garitano,4-4-2 double 6,70800000.0,28.683467114678614,182.0,20.0,0,6.8,2.0,4.0,15.6,4.2,0.4,0.6387,0.7560658,0.6074098000000001,12.249371640548114,1.8,57580000.0,28.471955696596353,180.9818181818182,20.6,6.958704896540116,2.2277673244715883,3.5060726131757893,15.531939631588566,4.512751529147712,0.19933352584905092,0.6706450216276499,0.7515051217564857,0.6643650005669509,11.527038456444147,1.9644234739602846,57478009.224752545,28.420154584580406,180.81280626428628,22.13625511076116,15.0
