Equipo,Fecha,hora,es_local,resultado_final,xpts_avg5,ppda_avg5,corners_avg5,faltas_avg5,amarillas_avg5,rojas_avg5,diff_xg_avg5,diff_tiros_puerta_avg5,diff_tiros_avg5,diff_pases_area_avg5,diff_xpts_avg5,diff_corners_avg5,diff_faltas_avg5,diff_amarillas_avg5,diff_ratio_presion_avg5,diff_dominio_ofensivo_avg5,diff_agresividad_ofensiva_avg5,diff_disciplina_avg5,xpts_ewma5,ppda_ewma5,corners_ewma5,faltas_ewma5,amarillas_ewma5,rojas_ewma5,diff_xg_ewma5,diff_tiros_puerta_ewma5,diff_tiros_ewma5,diff_pases_area_ewma5,diff_xpts_ewma5,diff_corners_ewma5,diff_faltas_ewma5,diff_amarillas_ewma5,diff_ratio_presion_ewma5,diff_dominio_ofensivo_ewma5,diff_agresividad_ofensiva_ewma5,diff_disciplina_ewma5,club_id,game_id,xi_market_value,xi_average_age,xi_average_height,xi_total_caps,formation,manager_name,ocupacion_estadio
Levante,2026-03-16,20:00:00,0,D,1.05444,12.684071773636992,4.8,12.6,2.0,0.4,-0.8355647999999999,-2.6,-3.0,-3.6,-0.7264799999999999,-0.4,-0.8,-1.2,-2.858221502178296,-7.4355648,-3.4,0.8,1.0038642387481411,12.72351433551342,4.787978397918968,13.079191927568882,1.7487526815716126,0.4435802005956212,-0.7781239409733136,-2.4463068845706464,-4.440890085289406,-4.33992596461661,-0.8209213203070107,-0.4410863052628692,0.2732900416369934,-1.3288709108207384,-3.63983474406587,-9.558939990879328,-4.881976390552277,0.8863366020517184,3368,4645921,33400000.0,25.664862174102424,181.3636363636364,132.0,4-3-3 ATTACKING,luís castro,0.4164453213933369
Real Sociedad,2026-03-20,20:00:00,0,H,1.37926,10.540131578947369,4.8,14.0,1.8,0.0,-0.2332248000000002,-0.8,-1.4,-3.6,-0.0758400000000007,-0.4,4.2,1.2,4.950802215519035,-5.233224799999997,-1.8,-1.2,1.6198956642063125,9.934725408688188,3.788840600828512,14.409428005662328,1.9471135226041767,0.0617792572701164,0.1172212472882963,-0.7832687804879703,-2.863376404194257,-3.892340650988237,0.3866705579888667,-1.6917200029941224,4.783195250490957,1.1349199589197556,4.203594741391966,-6.638495807894197,-4.55509640718838,-1.2566157038305226,681,4645911,167000000.0,26.73088171240122,180.1818181818182,130.0,4-2-3-1,pellegrino matarazzo,0.4586777910614809
Villarreal,2026-03-20,20:00:00,1,H,1.6805799999999995,16.27097744360902,3.0,11.6,1.8,0.0,0.2363190000000001,0.4,-1.0,1.6,0.57786,-1.2,-3.4,-1.2,-9.514746218562207,0.8363189999999969,-2.2,1.2,1.6163338112544623,14.481219099499384,2.9867466282441906,11.429852713428446,1.5097906562357868,0.0113405692990005,0.1463144984162381,0.8054132613099682,-0.4841894983850109,2.501912679921172,0.4858794037210791,-1.734388627988848,-4.510013520600088,-1.449401920145185,-7.772089720172026,2.1640376799524,-2.2185781263738584,1.430217572636386,1050,4645911,184300000.0,26.543214485719616,184.0,179.0,4-4-2,marcelino,0.7673191489361703
Espanyol,2026-03-21,15:15:00,1,A,0.7437599999999998,15.368449197860963,4.0,15.0,2.8,0.4,-1.0040982,-3.6,-3.4,-3.4,-1.31148,1.0,3.6,1.6,-4.841289533995416,-7.804098199999997,-2.4,-2.4,0.9148112327483277,14.395172435741443,5.128669008509609,15.50915729741389,3.053501171155338,0.4832157646059815,-0.664135234785649,-3.718522994712116,-2.762934746553304,-1.965931918103267,-0.9339791735871612,1.8797914258410025,3.335610896219225,1.1636246892125552,-5.086518000045664,-5.393001899442218,-0.8831433207123016,-2.125953630179403,714,4645915,83600000.0,27.719992533134214,182.3636363636364,25.0,4-4-1-1,manolo gonzález,0.7300137653536637
Osasuna,2026-03-21,17:30:00,1,H,1.01932,12.45893048128342,4.6,14.4,2.2,0.2,-0.5046803999999998,-1.4,-1.2,-0.4,-0.7968000000000004,-0.4,1.4,-1.2,-3.5863547237076623,-2.1046803999999986,-1.6,1.2,1.061485565237023,12.672597672185644,5.010046605297132,12.96376165102131,1.646664470607963,0.2360251576573863,-0.5222691914839662,-0.8320615064439698,0.9225259788545755,-0.1532785397446106,-0.7275355663313241,1.2760998083422104,-0.3223737537410722,-1.7290224753905354,-3.095600848561106,0.2469782476259991,2.1986257871967867,1.7187768907976946,331,4645910,73600000.0,28.663804368116484,181.0,65.0,4-2-3-1,alessio lisci,0.8896759416355616
Mallorca,2026-03-21,13:00:00,0,H,0.7801,15.83095238095238,3.4,11.0,3.4,0.2,-1.13446198,-0.8,-5.2,-2.6,-1.2544200000000003,-2.8,-2.6,1.2,4.295652661064426,-8.93446198,-8.0,-0.8,1.082968392827806,13.751263585458764,3.206859696154173,10.708309677023932,3.013696471444439,0.2223342053107077,-0.6278312312284908,1.69178141704023,-1.8685607211380464,-1.634866410593964,-0.6317052207614677,-3.7174062626330695,-2.618409558268276,0.8090005787130726,1.9317421275499047,-4.131258362960503,-5.585966983771117,-0.0662417784505652,237,4645914,48200000.0,27.9487275216228,182.0,169.0,4-2-3-1,martín demichelis,0.978554957724827
Getafe,2026-03-21,15:15:00,0,A,1.08006,18.11542604478677,2.6,14.6,3.0,0.6,-0.3842138,-0.8,-5.2,-4.6,-0.5071199999999997,-4.2,1.6,0.4,-13.600092674596585,-10.1842138,-9.4,-1.2,0.9585242711188204,16.269044594825772,2.9203207504182727,14.398858711672686,3.1907164058361204,0.5822657301935458,-0.5388776516208127,-1.1022782541330534,-5.397037203179199,-4.945409861606137,-0.7819404077470179,-4.694067169485701,2.2560012989475373,0.5365276614425886,-11.484539766512222,-10.881324716406148,-10.0911043726649,-1.378710465866645,3709,4645915,36900000.0,30.209196689689502,184.0909090909091,107.0,5-4-1,josé bordalás,1.0
Girona,2026-03-21,17:30:00,0,H,1.74584,15.64648408351195,4.8,8.4,1.4,0.2,0.461335,0.8,-2.2,-0.4,0.7405200000000004,-1.4,-4.2,-0.6,-4.655119484631465,-2.1386650000000014,-3.6,0.6,1.766860377720505,14.484886593976812,4.225097434910912,9.06852952689979,1.3775595838700798,0.074780155771486,0.5061083848638559,-0.1309506210013742,-0.5488465189677727,-0.3264748299911895,0.7830577962954922,-1.814653745529556,-4.874927119343525,-0.7150144417096147,-3.0166221145644028,-0.3692129640951065,-2.3635002644973286,1.0114220452353366,12321,4645910,98300000.0,27.27770518324933,181.3636363636364,386.0,4-2-3-1,míchel,1.0
Elche,2026-03-21,13:00:00,1,H,1.34156,7.471338596044478,4.8,14.6,2.2,0.0,-0.2260750000000002,-0.8,-0.6,-0.8,-0.1228199999999996,1.4,-1.6,-0.8,5.309652887578584,-1.6260749999999995,0.8,1.2,1.1247870067905343,7.822511555934832,4.35849207883302,15.892558129712883,2.4107937314834915,0.0008615908833238,-0.5790397165411773,-1.766202031442487,-2.639658500988144,-1.7833793471754211,-0.53484634488756,0.3512255453306498,1.790949879738777,0.2603524395918601,5.871769156542724,-5.002077564704744,-2.2884329556574947,0.0342249197665518,1531,4645914,41400000.0,28.51247588824591,183.0,26.0,3-5-2 FLAT,eder sarabia,0.8112017331464254
Real Madrid,2026-03-22,20:00:00,1,H,1.7282,10.781216678058785,6.4,10.8,2.4,0.2,0.5475124000000002,2.6,3.6,2.4,0.7017000000000001,3.2,-3.2,-0.2,8.625496897323522,6.547512400000005,6.8,0.2,1.684650571971143,11.095378781389758,6.432318756693968,10.977288266764576,2.021994674759041,0.1561010864208765,0.4865166070955337,3.076725805597076,4.566995844779122,2.805984958664313,0.6375265827980113,3.298161151655166,-3.773924737943155,-0.7680724629452256,7.467777409140522,7.859497410538968,7.865156996434287,0.8835810434680573,418,4645909,597000000.0,26.1576753157862,180.9090909090909,370.0,4-4-2,álvaro arbeloa,0.9372250138244416
Barcelona,2026-03-22,13:00:00,1,H,2.0947000000000005,7.6089325529542915,6.0,8.6,1.4,0.0,1.5935634,2.4,9.2,4.0,1.33824,2.6,-2.2,0.2,13.76393486067783,14.7935634,11.8,0.2,2.220860977704874,8.06842503446677,5.356094692288987,7.9712571201415585,0.9549304748735412,0.0007330352788284,1.855200512124568,2.944151520324348,7.2454026894829155,2.891693228754134,1.5839529836026165,2.086466284696903,-3.8049903423612648,-0.3210985320734772,11.29121197598483,11.992296430361622,9.331868974179818,0.4908935559128845,131,4645913,742000000.0,25.229046107896213,183.63636363636363,371.0,4-2-3-1,hansi flick,0.906714333594012
Atletico Madrid,2026-03-22,20:00:00,0,H,1.69464,9.792886641155318,6.8,8.8,1.8,0.0,0.6849088,0.8,5.6,9.2,0.5357400000000004,3.0,-1.8,0.2,5.583756215987539,15.4849088,8.6,0.2,1.850448100425084,8.872831324177184,7.508530847873374,9.100213041139892,1.969837396075292,0.0001300031208809,0.9325300017124812,1.8703308432957624,7.33279551088846,10.882335047976444,0.8892479851247362,4.026189829377491,-1.1197137385834166,0.0951285366370536,8.854598818931661,19.147660560577386,11.358985340265953,0.5712781237878847,13,4645909,313000000.0,28.71482795096758,181.0909090909091,453.0,4-4-2,diego simeone,1.0
Alaves,2026-03-22,15:15:00,0,A,1.0896200000000005,8.016942775923866,4.6,16.6,3.6,0.6,-0.370842,-1.2,-0.2,-2.4,-0.5664599999999996,-1.0,5.4,1.6,1.6507671343032075,-2.970842000000002,-1.2,-2.0,0.919833812982922,8.44543216910081,4.527287351894929,17.178396390400778,3.965636531105681,0.5987117417129811,-0.5130710580453917,-1.768334397944883,-2.5619021354514446,-4.010461993474554,-0.8954193439879301,-0.9710803457737912,5.724955803897956,2.4464428870579216,0.5095877414451541,-7.08543518697139,-3.532982481225236,-3.36872988909565,1108,4645918,47000000.0,27.71377014498165,181.63636363636363,36.0,4-4-2,quique sánchez flores,1.0
Rayo Vallecano,2026-03-22,13:00:00,0,H,1.48392,8.289874355539316,5.8,11.2,2.2,0.2,0.1861312000000002,1.8,2.6,-1.0,0.2064600000000002,1.6,-2.2,-0.8,2.351860512320872,1.7861311999999974,4.2,0.4,1.4476548173232926,8.701019543456443,5.310779549803799,11.523261856739296,2.484993854183463,0.4160787212219503,0.1654526020166609,1.074543575020702,1.4986557183510858,-2.0552096137054825,0.1357950863811025,0.2430269338076658,-1.230196563555559,-0.6291505994984508,2.4209635760835297,-0.391101293337736,1.7416826521587518,-0.198045620530538,367,4645913,52600000.0,29.251695600771576,181.0909090909091,96.0,4-2-3-1,iñigo pérez,1.0
Celta Vigo,2026-03-22,15:15:00,1,A,1.6451,18.69138731856379,4.0,10.0,1.4,0.0,0.5481417800000002,1.0,-0.4,0.4,0.4883400000000005,-0.6,-0.2,-1.0,-2.482945760122232,0.5481417800000038,-1.0,1.0,1.2941775590006888,19.058967092257625,3.949947708809683,10.683466995159606,1.88634246638086,0.0001515250696414,-0.0271611057451605,-0.0982909678762962,-3.968196009699525,-2.093843676439655,-0.1735933631224796,-0.7312400819051303,-0.3031766041319439,-0.3316928175497646,-3.794297786127758,-6.08920079188434,-4.699436091604655,0.4085979325623182,940,4645918,84500000.0,25.92495799887997,181.54545454545453,38.0,5-4-1,claudio giráldez,0.8146361077603539
