Equipo,Fecha,hora,es_local,resultado_final,xpts_avg5,ppda_avg5,corners_avg5,faltas_avg5,amarillas_avg5,rojas_avg5,diff_xg_avg5,diff_tiros_puerta_avg5,diff_tiros_avg5,diff_pases_area_avg5,diff_xpts_avg5,diff_corners_avg5,diff_faltas_avg5,diff_amarillas_avg5,diff_ratio_presion_avg5,diff_dominio_ofensivo_avg5,diff_agresividad_ofensiva_avg5,diff_disciplina_avg5,xpts_ewma5,ppda_ewma5,corners_ewma5,faltas_ewma5,amarillas_ewma5,rojas_ewma5,diff_xg_ewma5,diff_tiros_puerta_ewma5,diff_tiros_ewma5,diff_pases_area_ewma5,diff_xpts_ewma5,diff_corners_ewma5,diff_faltas_ewma5,diff_amarillas_ewma5,diff_ratio_presion_ewma5,diff_dominio_ofensivo_ewma5,diff_agresividad_ofensiva_ewma5,diff_disciplina_ewma5,club_id,game_id,xi_market_value,xi_average_age,xi_average_height,xi_total_caps,formation,manager_name,ocupacion_estadio
Alaves,2019-08-18,16:00:00,1,H,1.34312,10.84395815034402,4.6,13.0,2.4,0.0,-0.0450555,0.0,-0.2,-0.4,-0.0518400000000002,0.0,0.2,0.0,-0.2152235340232257,-0.5740258000000025,-0.2,0.0,1.3465288150598362,10.881113399311548,4.538050707093225,12.978447433052736,2.333979626292584,0.0480587707759143,-0.0447327445477537,-0.0915882985918246,-0.1094469283086736,-0.3715553267774979,-0.0394755275394408,0.0195950337019468,0.0739787569957046,-0.006825683310134,-0.1703574878426441,-0.4668064126287422,-0.2143064840309071,-0.0016689969379812,1108,3208623,61000000.0,27.71526351813826,182.45454545454547,79.0,4-1-4-1,asier garitano,0.6063004032258065
Alaves,2019-08-25,16:00:00,1,D,1.1599,13.15,2.0,18.0,2.0,0.0,-0.1750709999999999,-2.0,-7.0,0.0,-0.3114000000000001,-7.0,3.0,1.0,-8.236956521739131,-7.175071000000001,-14.0,-1.0,1.1599,13.15,2.0,18.0,2.0,0.0,-0.1750709999999999,-2.0,-7.0,0.0,-0.3114000000000001,-7.0,3.0,1.0,-8.236956521739131,-7.175071000000001,-14.0,-1.0,1108,3208639,46800000.0,27.63088793478937,180.3636363636364,21.0,4-1-4-1,asier garitano,0.7342237903225807
Alaves,2019-08-31,18:00:00,0,D,1.4919,14.000925925925928,2.5,15.5,2.5,0.0,0.1706935,-0.5,-1.0,2.0,0.4027499999999999,-4.5,3.0,1.5,-7.1832930756843805,1.1706934999999996,-5.5,-1.5,1.381233333333333,13.717283950617285,2.333333333333333,16.333333333333336,2.333333333333333,0.0,0.0554386666666666,-1.0000000000000002,-3.0000000000000004,1.3333333333333333,0.1646999999999998,-5.333333333333334,3.0,1.3333333333333337,-7.534514224369298,-1.6112280000000014,-8.333333333333334,-1.3333333333333337,1108,3208653,41800000.0,27.481052828075416,181.8181818181818,23.0,5-4-1,asier garitano,0.5446572580645161
Alaves,2019-09-15,12:00:00,1,A,1.4755,13.208950617283952,2.333333333333333,16.0,2.0,0.0,0.1271743333333333,-0.3333333333333333,-4.0,0.0,0.3685,-3.6666666666666665,4.0,0.3333333333333333,-6.802750939345143,-3.872825666666667,-7.666666666666667,-0.3333333333333333,1.4017222222222223,13.019855967078191,2.2222222222222223,16.555555555555557,1.888888888888889,0.0,0.0503377777777777,-0.6666666666666669,-5.333333333333334,-0.4444444444444443,0.2097999999999999,-4.222222222222223,4.0,0.2222222222222224,-7.036898371801755,-5.727440000000001,-9.555555555555555,-0.2222222222222224,1108,3208659,60500000.0,28.04405450812021,181.3636363636364,20.0,4-4-2 DOUBLE 6,asier garitano,0.8220262096774194
Alaves,2019-09-22,16:30:00,0,H,1.38125,12.69837962962963,2.25,15.25,2.75,0.0,0.016046,-2.0,-6.0,-3.0,0.1584749999999999,-3.75,4.5,0.25,-5.693729871175523,-8.983954,-9.75,-0.25,1.3006481481481482,12.40212620027435,2.1481481481481484,15.370370370370374,2.925925925925926,0.0,-0.0722211481481481,-2.7777777777777777,-7.555555555555556,-4.296296296296296,-0.0173333333333333,-4.148148148148149,4.666666666666667,0.1481481481481483,-5.480154470090059,-11.924073000000002,-11.703703703703706,-0.1481481481481483,1108,3208669,51500000.0,28.79223445958559,181.3636363636364,20.0,4-1-4-1,asier garitano,1.0
Alaves,2019-09-26,19:00:00,0,H,1.16548,12.26537037037037,2.2,16.0,3.0,0.0,-0.269737,-2.2,-6.4,-3.2,-0.31734,-3.2,5.2,0.8,-4.834377836334357,-9.869737,-9.6,-0.8,0.967898765432099,11.779195244627346,2.098765432098766,16.58024691358025,3.283950617283951,0.0,-0.5191037654320988,-2.851851851851852,-7.703703703703704,-4.197530864197531,-0.7517555555555555,-3.0987654320987663,5.777777777777779,1.0987654320987656,-4.119092879049938,-12.420338333333335,-10.802469135802472,-1.0987654320987656,1108,3208686,51800000.0,25.92346462572335,181.27272727272728,35.0,4-1-4-1,asier garitano,1.0
Alaves,2019-09-29,14:00:00,1,H,0.93704,12.162643097643098,2.4,16.4,3.4,0.2,-0.9573338,-3.2,-8.2,-5.2,-0.8454599999999999,-2.2,7.2,1.2,-3.862085346215781,-14.3573338,-10.4,-1.6,0.6511658436213994,12.064918041872776,2.3991769547325106,17.7201646090535,3.522633744855968,0.3333333333333333,-1.550420843621399,-4.234567901234568,-10.469135802469136,-6.131687242798353,-1.4851703703703705,-2.7325102880658445,8.185185185185187,1.7325102880658438,-3.871226609748708,-18.15124388888889,-13.201646090534982,-2.3991769547325106,1108,3208692,39000000.0,27.883765789309937,181.3636363636364,51.0,4-4-2,asier garitano,0.8636592741935484
Alaves,2019-10-05,17:30:00,0,H,1.122,10.755909090909087,2.6,17.0,3.2,0.2,-0.7262874,-2.4,-8.0,-5.2,-0.5483399999999999,-1.2,7.0,0.6,-1.9476218708827404,-13.9262874,-9.2,-1.0,1.3503438957475995,10.649339300642458,2.9327846364883405,17.14677640603567,3.015089163237312,0.2222222222222222,-0.4763838957475997,-1.1563786008230457,-4.979423868312758,-2.754458161865569,-0.1226135802469136,-0.8216735253772298,6.123456790123459,0.8216735253772294,-1.4332551574872812,-8.21026592592593,-5.801097393689989,-1.266117969821674,1108,3208711,43000000.0,27.91960674506876,183.0,35.0,4-4-2 DOUBLE 6,asier garitano,1.0
Alaves,2019-10-20,11:00:00,1,H,1.06604,11.41186147186147,3.6,16.8,3.6,0.2,-0.7810546,-2.2,-6.2,-3.4,-0.6879,-0.2,7.6,1.4,-0.1002409185017871,-10.381054600000002,-6.4,-1.8,1.2878625971650666,12.067813502015609,4.288523090992227,16.76451760402378,3.0100594421582083,0.1481481481481481,-0.3954892638317332,-0.4375857338820305,-3.6529492455418393,-0.1696387745770466,-0.2143423868312757,0.4522176497485134,7.082304526748973,1.214449016918153,0.1095759267545117,-4.21807728395062,-3.200731595793327,-1.5107453132144495,1108,3208713,61500000.0,28.223259286914317,180.8181818181818,22.0,4-4-2 DOUBLE 6,asier garitano,0.8358870967741936
Alaves,2019-10-25,20:00:00,0,H,1.26544,11.134083694083694,4.0,18.2,3.6,0.2,-0.5276488,-0.2,-4.2,-0.8,-0.3101999999999999,0.2,9.4,2.2,0.2953146370537677,-5.5276488000000015,-4.0,-2.6,1.557075064776711,11.304468260603,4.192348727328152,17.843011736015853,3.6733729614388055,0.0987654320987654,0.0529038241121778,0.7082761774119797,-3.10196616369456,0.2202408169486355,0.3294050754458162,-0.365188233500991,9.721536351165984,2.1429660112787685,-0.0565790117932891,-2.8288215226337483,-3.467154397195552,-2.3404968754763,1108,3208731,61500000.0,28.23694854084998,180.8181818181818,22.0,4-4-2,asier garitano,0.808921370967742
