Equipo,Fecha,hora,es_local,resultado_final,xpts_avg5,ppda_avg5,corners_avg5,faltas_avg5,amarillas_avg5,rojas_avg5,diff_xg_avg5,diff_tiros_puerta_avg5,diff_tiros_avg5,diff_pases_area_avg5,diff_xpts_avg5,diff_corners_avg5,diff_faltas_avg5,diff_amarillas_avg5,diff_ratio_presion_avg5,diff_dominio_ofensivo_avg5,diff_agresividad_ofensiva_avg5,diff_disciplina_avg5,xpts_ewma5,ppda_ewma5,corners_ewma5,faltas_ewma5,amarillas_ewma5,rojas_ewma5,diff_xg_ewma5,diff_tiros_puerta_ewma5,diff_tiros_ewma5,diff_pases_area_ewma5,diff_xpts_ewma5,diff_corners_ewma5,diff_faltas_ewma5,diff_amarillas_ewma5,diff_ratio_presion_ewma5,diff_dominio_ofensivo_ewma5,diff_agresividad_ofensiva_ewma5,diff_disciplina_ewma5
Barcelona,2022-04-03,19:00:00,1,H,2.8703600000000002,7.783035102152749,4.4,10.2,3.2,0.0,3.0529868000000002,4.6,7.4,7.6,2.7851399999999997,0.8,-0.8,0.4,13.41829011759032,18.052986799999996,8.2,0.0,2.758964170073845,9.168469269750997,4.356275114091727,10.477568539269445,3.0423587356721584,0.08620683638777762,2.9943287470582405,4.75426204244314,7.868753729635581,7.397627417340476,2.5785365266220346,1.1104613974291626,0.7905342051999438,-0.16666742754026104,14.271910128039885,18.2607098940343,8.979215127064744,0.38990376407685395
Barcelona,2022-04-10,19:00:00,0,A,2.8310400000000002,8.620535102152749,5.6,9.4,3.0,0.0,3.0033322,5.0,10.6,8.0,2.71746,3.2,1.2,0.2,14.274254169877903,21.603332199999997,13.8,0.2,2.6540761133825637,9.133146179833998,5.904183409394485,10.985045692846297,3.0282391571147724,0.05747122425851842,2.4780388313721606,4.169508028295427,8.91250248642372,6.931751611560318,2.4075243510813564,3.0736409316194413,1.8603561367999624,-0.11111161836017404,11.84562527054511,18.322292929356202,11.986143418043163,0.25993584271790265
Barcelona,2022-04-18,19:00:00,1,A,2.31828,10.821234402852049,5.2,9.2,2.8,0.0,2.0960404000000006,4.4,9.0,6.8,1.71276,2.0,1.4,0.0,12.875710041592395,17.896040399999997,11.0,0.4,1.8850174089217093,11.846339877465091,4.936122272929657,9.656697128564199,2.3521594380765154,0.038314149505678956,1.1099458875814407,3.113005352196952,6.941668324282481,4.954501074373546,0.8820162340542379,1.715760621079628,0.9069040911999751,-0.07407441224011603,9.660341089454317,13.006115286237469,8.65742894536211,0.1732905618119351
Barcelona,2022-04-21,19:30:00,0,A,1.9117000000000002,9.947931235431236,5.6,10.8,2.4,0.0,1.334032,3.6,10.0,7.2,0.9435,3.2,3.2,-0.2,14.644251304251304,18.534032,13.2,0.2,1.5420782726144728,8.79499581574596,5.957414848619772,11.7711314190428,2.9014396253843437,0.025542766337119306,0.5487472583876272,2.7420035681313015,8.627778882854987,5.303000716249031,0.24411082270282541,3.477173747386418,2.9379360607999834,0.9506170585065893,14.25707720981936,14.479526857491646,12.104952630241407,-0.8844729587920432
Barcelona,2022-04-24,19:00:00,1,A,1.736,11.939143356643358,5.2,11.2,2.8,0.0,0.7620388,1.6,6.6,4.0,0.6389400000000001,2.0,2.0,0.8,7.379705849705848,11.362038799999997,8.6,-0.8,1.7302855150763152,11.313330543830642,4.971609899079848,10.847420946028533,2.600959750256229,0.017028510891412874,0.6766915055917515,0.494669045420868,6.751852588569991,3.868667144166021,0.6472405484685503,1.651449164924279,0.9586240405333224,0.9670780390043929,6.443607028768464,11.297211238327765,8.403301753494272,-0.9229819725280288
Barcelona,2022-05-01,19:00:00,1,H,1.5732400000000002,10.370745088245089,6.4,10.8,2.8,0.0,0.20769200000000007,1.2,8.8,5.2,0.3737400000000002,3.8,3.2,0.4,6.479286913803042,14.207691999999998,12.6,-0.4,1.857557010050877,9.70095052128392,6.314406599386565,10.564947297352356,3.0673065001708197,0.011352340594275251,0.7378980037278344,1.6631126969472452,9.50123505904666,6.579111429444014,0.9482936989790336,3.7676327766161863,3.6390826936888816,-0.02194797399707127,6.244534742169248,16.81824449221851,13.26886783566285,0.05134535164798071
Barcelona,2022-05-07,19:00:00,0,A,1.4133,9.67967365967366,5.6,11.0,2.6,0.0,-0.001133799999999896,1.2,8.8,5.4,0.07602000000000016,3.0,2.6,0.2,7.935717819498653,14.198866199999998,11.8,-0.2,1.786571340033918,8.336347966570234,5.876271066257711,11.376631531568238,2.7115376667805466,0.007568227062850168,0.6257086691518896,2.1087417979648304,10.000823372697774,6.719407619629343,0.8244957993193558,3.511755184410791,2.759388462459255,-0.3479653159980475,8.921426522790703,17.345939661479008,13.512578557108567,0.36756356776532045
Barcelona,2022-05-10,19:30:00,1,H,1.71874,7.78941391941392,6.6,13.2,2.8,0.0,0.43786940000000013,1.0,7.6,5.6,0.7182600000000001,4.0,3.2,0.4,7.855144226425059,13.6378694,11.6,-0.4,1.8157475600226123,8.16470816818968,6.584180710838474,13.584421021045493,2.4743584445203646,0.005045484708566779,0.6067311127679265,1.405827865309887,5.667215581798517,5.146271746419563,0.897063866212904,3.674503456273861,2.5062589749728366,0.10135645600130164,7.5765859358287235,11.420218440986007,9.34171903807238,-0.08829095482311966
Barcelona,2022-05-15,17:30:00,0,D,1.88022,8.68779448621554,5.4,13.6,2.6,0.0,0.62909,0.4,4.6,4.6,1.05204,1.4,4.2,0.4,4.441235709312883,9.829089999999999,6.0,0.0,1.7650317066817416,7.837875620898384,5.056120473892317,15.056280680696997,2.6495722963469097,0.0033636564723778534,0.5319717418452843,0.6038852435399249,2.7781437211990117,3.764181164279709,0.8104425774752695,0.44966897084924096,5.670839316648558,1.0675709706675345,7.178059578882002,7.074296627324006,3.2278126920482544,-0.3921939698820798
Barcelona,2022-05-22,20:00:00,1,A,1.68368,9.717794486215539,5.8,13.4,2.6,0.0,0.4341728000000001,0.8,3.2,4.4,0.7466400000000001,1.8,4.6,0.4,8.556849744400601,8.034172799999999,5.0,0.0,1.5513544711211613,12.391917080598922,5.037413649261545,12.704187120464665,2.4330481975646068,0.0022424376482519026,0.3406458278968562,-0.26407650430671664,0.5187624807993414,2.5094541095198064,0.5157950516501799,0.299779313899494,3.447226211099039,1.0450473137783565,8.583618666623089,3.368862418216006,0.8185417946988365,-0.5947959799213866
Barcelona,2022-08-13,19:00:00,1,D,1.4997600000000002,9.878556390977444,6.4,13.8,2.4,0.0,0.2504322000000001,0.0,2.2,3.2,0.39324000000000003,2.4,3.8,1.2,13.153793932828663,5.650432199999997,4.6,-0.8,1.4317363140807744,10.687944720399283,7.358275766174364,12.469458080309778,2.622032131709738,0.0014949584321679351,0.20763321859790415,-0.17605100287114445,3.6791749871995605,3.672969406346538,0.2716633677667866,3.8665195425996624,3.964817474066026,1.3633648758522376,15.332782814785766,7.5597776121440035,7.545694529799224,-1.063197319947591
Barcelona,2022-08-21,20:00:00,0,A,1.5330400000000002,9.641976304397357,7.0,14.4,2.6,0.2,0.29011820000000005,0.2,3.4,3.4,0.46098,3.4,4.0,0.8,11.753903431173454,7.090118199999997,6.8,-0.8,1.5581575427205163,8.600043955013664,7.572183844116243,13.646305386873188,2.7480214211398257,0.33432997228811195,0.33834214573193605,1.2159659980859037,8.119449991466373,5.115312937564359,0.4863089118445244,5.2443463617331085,3.3098783160440175,-0.09109008276517483,12.647107735109703,13.57310507476267,13.363796353199483,-0.3754648799650608
Barcelona,2022-08-28,17:30:00,1,H,1.6173600000000001,9.75461366703472,6.6,12.6,2.4,0.2,0.42460700000000007,0.6,5.0,4.0,0.60972,3.2,2.2,0.4,11.535313687583711,9.424606999999998,8.2,-0.4,1.8040050284803444,8.52823443154757,7.048122562744163,12.097536924582126,2.1653476140932173,0.22288664819207465,0.6393014304879574,1.4773106653906025,7.079633327644249,5.076875291709573,0.9195059412296829,4.496230907822072,-0.1267477893039879,-0.3940600551767832,9.696057171391818,12.795810049841782,11.575864235466323,0.08302341335662611
Barcelona,2022-09-03,19:00:00,0,A,1.8408000000000002,9.834438228438229,9.0,10.8,1.8,0.2,0.8614518,2.0,8.8,7.6,1.00974,6.4,0.0,-0.8,13.280907186380873,17.261451799999996,15.2,0.4,2.12960335232023,8.213267398809492,9.365415041829442,11.065024616388085,1.443565076062145,0.14859109879471646,1.2817599536586384,2.9848737769270683,10.053088885096166,9.717916861139717,1.4921039608197888,6.330820605214715,0.2488348071306747,-1.262706703451189,11.500362900586,21.052765699894522,16.383909490310884,1.0553489422377507
Barcelona,2022-09-10,16:30:00,0,A,2.2085,7.290959967568663,8.8,12.0,2.2,0.2,1.6396975999999999,3.0,11.4,7.6,1.61238,6.4,0.0,-0.6,10.774470336893902,20.639697599999998,17.8,0.2,2.4072355682134865,8.403047831090387,7.576943361219628,12.043349744258723,2.295710050708097,0.09906073252981099,2.137580969105759,2.9899158512847124,9.702059256730777,6.478611240759812,1.9746359738798591,4.220547070143144,-0.16744346191288348,-0.1751378023007928,7.287759465280803,18.318251466596347,13.922606326873924,0.036899294825167184
Barcelona,2022-09-17,14:15:00,1,H,2.5436,6.999665849921604,7.6,12.2,2.0,0.2,2.135452,4.6,11.4,8.0,2.21358,4.4,-0.8,-0.8,6.219542232318736,21.535452,15.8,0.4,2.5608237121423247,7.543208357981827,7.05129557414642,12.36223316283915,2.197140033805398,0.06604048835320733,2.2318473127371727,4.659943900856475,9.80137283782052,6.985740827173208,2.2462239825865726,3.1470313800954295,0.2217043587247443,0.2165747984661381,6.877329839598968,19.0189609777309,12.94840421791595,-0.30873380344988854
Barcelona,2022-10-01,19:00:00,0,A,2.78108,6.86965607475054,7.2,11.2,1.8,0.0,3.0487073799999997,5.4,12.8,9.8,2.6299799999999998,4.0,-0.8,-0.2,10.059552007489803,25.648707379999998,16.8,0.6,2.70668247476155,6.286870088116918,6.700863716097614,11.908155441892767,2.131426689203599,0.04402699223547156,3.2099105084914488,5.773295933904317,14.534248558547013,10.323827218115472,2.4966826550577155,4.09802092006362,0.8144695724831629,0.14438319897742544,13.410155376936945,28.06798628515393,18.632269478610635,0.4608441310334076
