,FTR,game_id,HTR,home_team,home_club_id,home_manager,home_formation,home_shots_last_5,home_shots_target_last_5,home_corners_last_5,home_fouls_last_5,home_yellow_cards_last_5,home_red_cards_last_5,home_xp_last_5,home_xg_last_5,home_np_xg_last_5,home_ppda_last_5,home_deep_completions_last_5,home_shots_ewm_5,home_shots_target_ewm_5,home_corners_ewm_5,home_fouls_ewm_5,home_yellow_cards_ewm_5,home_red_cards_ewm_5,home_xp_ewm_5,home_xg_ewm_5,home_np_xg_ewm_5,home_ppda_ewm_5,home_deep_completions_ewm_5,home_position_last,away_team,away_club_id,away_manager,away_formation,away_shots_last_5,away_shots_target_last_5,away_corners_last_5,away_fouls_last_5,away_yellow_cards_last_5,away_red_cards_last_5,away_xp_last_5,away_xg_last_5,away_np_xg_last_5,away_ppda_last_5,away_deep_completions_last_5,away_shots_ewm_5,away_shots_target_ewm_5,away_corners_ewm_5,away_fouls_ewm_5,away_yellow_cards_ewm_5,away_red_cards_ewm_5,away_xp_ewm_5,away_xg_ewm_5,away_np_xg_ewm_5,away_ppda_ewm_5,away_deep_completions_ewm_5,away_position_last,shots_last_5_diff,shots_target_last_5_diff,corners_last_5_diff,fouls_last_5_diff,yellow_cards_last_5_diff,red_cards_last_5_diff,xp_last_5_diff,xg_last_5_diff,np_xg_last_5_diff,ppda_last_5_diff,deep_completions_last_5_diff,shots_ewm_5_diff,ppda_ewm_5_diff,shots_target_ewm_5_diff,corners_ewm_5_diff,fouls_ewm_5_diff,yellow_cards_ewm_5_diff,red_cards_ewm_5_diff,xp_ewm_5_diff,xg_ewm_5_diff,np_xg_ewm_5_diff,deep_completions_ewm_5_diff,table_position_diff,table_position_abs_diff,shots_last_5_abs_diff,shots_target_last_5_abs_diff,corners_last_5_abs_diff,fouls_last_5_abs_diff,yellow_cards_last_5_abs_diff,red_cards_last_5_abs_diff,xp_last_5_abs_diff,xg_last_5_abs_diff,np_xg_last_5_abs_diff,ppda_last_5_abs_diff,deep_completions_last_5_abs_diff,xg_ewm_5_abs_diff,xp_ewm_5_abs_diff,shots_ewm_5_abs_diff,ppda_ewm_5_abs_diff,np_xg_ewm_5_abs_diff,deep_completions_ewm_5_abs_diff,corners_ewm_5_abs_diff,fouls_ewm_5_abs_diff,yellow_cards_ewm_5_abs_diff,red_cards_ewm_5_abs_diff,month_sin,month_cos,dow_sin,dow_cos,hour_sin,hour_cos,home_team_enc,away_team_enc,home_manager_enc,away_manager_enc,home_formation_enc,away_formation_enc,home_club_id_enc,away_club_id_enc,FTR_enc
1,D,3208639.0,D,Alaves,1108.0,Asier Garitano,4-1-4-1,9.0,2.0,2.0,18.0,2.0,0.0,1.1599,0.68416,0.68416,13.15,3.0,9.0,2.0,2.0,18.0,2.0,0.0,1.1599,0.68416,0.68416,13.15,3.0,7.0,Espanyol,714.0,David Gallego,4-1-4-1,7.0,2.0,8.0,11.0,2.0,0.0,0.0532,0.145879,0.145879,11.275862068965518,0.0,7.0,2.0,8.0,11.0,2.0,0.0,0.0532,0.145879,0.145879,11.275862068965518,0.0,20.0,2.0,0.0,-6.0,7.0,0.0,0.0,1.1067,0.538281,0.538281,-1.8741379310344826,3.0,2.0,-1.8741379310344826,0.0,-6.0,7.0,0.0,0.0,1.1067,0.538281,0.538281,3.0,13.0,13.0,2.0,0.0,6.0,7.0,0.0,0.0,1.1067,0.538281,0.538281,1.8741379310344826,3.0,0.538281,1.1067,2.0,1.8741379310344826,0.538281,3.0,6.0,7.0,0.0,0.0,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,-0.8660254037844384,-0.5000000000000004,0,9,7,12,9,8,2,26,1
2,A,3208659.0,A,Alaves,1108.0,Asier Garitano,4-4-2 double 6,8.0,1.6666666666666667,2.3333333333333335,16.0,2.0,0.0,1.4755,0.7907829999999999,0.7907829999999999,13.208950617283952,3.6666666666666665,7.421052631578947,1.526315789473684,2.31578947368421,15.94736842105263,1.8421052631578947,0.0,1.5035421052631577,0.8369781052631577,0.8369781052631577,12.965058479532162,3.631578947368421,7.0,Sevilla,368.0,Julen Lopetegui,4-3-3 Attacking,14.0,5.0,6.333333333333333,15.666666666666666,2.3333333333333335,0.0,2.4623333333333335,1.7668066666666666,1.7668066666666666,8.14322573561704,6.333333333333333,14.999999999999998,5.105263157894736,6.999999999999999,15.578947368421051,2.631578947368421,0.0,2.375421052631579,1.6592236842105264,1.6592236842105264,7.4521011025587685,6.94736842105263,2.0,-6.0,-3.333333333333333,-3.9999999999999996,0.3333333333333339,-0.3333333333333335,0.0,-0.9868333333333335,-0.9760236666666667,-0.9760236666666667,-5.065724881666911,-2.6666666666666665,-7.578947368421051,-5.512957376973394,-3.578947368421052,-4.684210526315789,0.36842105263157876,-0.7894736842105261,0.0,-0.8718789473684212,-0.8222455789473686,-0.8222455789473686,-3.3157894736842093,-5.0,5.0,6.0,3.333333333333333,3.9999999999999996,0.3333333333333339,0.3333333333333335,0.0,0.9868333333333335,0.9760236666666667,0.9760236666666667,5.065724881666911,2.6666666666666665,0.8222455789473686,0.8718789473684212,7.578947368421051,5.512957376973394,0.8222455789473686,3.3157894736842093,4.684210526315789,0.36842105263157876,0.7894736842105261,0.0,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,-0.2588190451025208,-0.9659258262890683,0,25,7,40,20,13,2,19,0
3,H,3208692.0,D,Alaves,1108.0,Asier Garitano,4-4-2,6.4,0.8,2.4,16.4,3.4,0.2,0.93704,0.6360232000000001,0.6360232000000001,12.162643097643098,2.2,5.878195488721806,0.5924812030075189,2.4375939849624064,17.69323308270677,3.6691729323308273,0.3654135338345864,0.6022049624060152,0.5157983263157896,0.5157983263157896,11.960489101541732,1.6015037593984964,17.0,Mallorca,237.0,Vicente Moreno,4-2-3-1,10.0,2.4,4.6,15.0,2.8,0.0,0.8782,1.1252386,0.9765826000000001,12.268401002506266,4.4,9.553383458646618,2.578947368421053,5.287218045112782,13.338345864661655,3.2406015037593985,0.0,0.9172163909774438,1.0490002902255644,0.9282871473684212,13.120731514766572,3.4872180451127823,19.0,-3.5999999999999996,-1.5999999999999999,-2.1999999999999997,1.3999999999999986,0.6000000000000001,0.2,0.05884,-0.48921539999999997,-0.34055939999999996,0.10575790486316805,-2.2,-3.675187969924812,1.1602424132248395,-1.986466165413534,-2.8496240601503757,4.354887218045114,0.4285714285714288,0.3654135338345864,-0.3150114285714286,-0.5332019639097748,-0.4124888210526316,-1.885714285714286,2.0,2.0,3.5999999999999996,1.5999999999999999,2.1999999999999997,1.3999999999999986,0.6000000000000001,0.2,0.05884,0.48921539999999997,0.34055939999999996,0.10575790486316805,2.2,0.5332019639097748,0.3150114285714286,3.675187969924812,1.1602424132248395,0.4124888210526316,1.885714285714286,2.8496240601503757,4.354887218045114,0.4285714285714288,0.3654135338345864,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,-0.7071067811865471,-0.7071067811865479,0,16,7,75,18,9,2,11,2
4,H,3208713.0,D,Alaves,1108.0,Asier Garitano,4-4-2 double 6,7.6,2.2,3.6,16.8,3.6,0.2,1.0660399999999999,0.9614554,0.8128774,11.41186147186147,2.8,8.492307692307692,3.0249008723235526,4.381443298969072,16.714353687549565,3.0510705789056307,0.1541633624107851,1.2930582236320383,1.1547177871530532,0.982928156701031,12.023873812327421,3.79746233148295,17.0,Celta Vigo,940.0,Fran Escribá,4-4-2 double 6,8.0,2.0,4.6,10.2,2.4,0.4,1.1524800000000002,0.9365736,0.7879181000000001,11.899629629629633,4.4,8.820459952418716,2.236637589214909,5.026486915146709,10.001268834258527,1.5508326724821573,0.1370340999206979,1.554657065820777,1.2285850873909594,1.0340717749405235,11.637437288701532,4.581760507533704,16.0,-0.40000000000000036,0.20000000000000018,-0.9999999999999996,6.600000000000001,1.2000000000000002,-0.2,-0.0864400000000003,0.024881799999999954,0.024959299999999907,0.48776815776816207,-1.6000000000000005,-0.3281522601110236,-0.3864365236258891,0.7882632831086438,-0.6450436161776372,6.713084853291038,1.5002379064234734,0.0171292624900872,-0.26159884218873874,-0.07386730023790622,-0.05114361823949254,-0.7842981760507541,-1.0,1.0,0.40000000000000036,0.20000000000000018,0.9999999999999996,6.600000000000001,1.2000000000000002,0.2,0.0864400000000003,0.024881799999999954,0.024959299999999907,0.48776815776816207,1.6000000000000005,0.07386730023790622,0.26159884218873874,0.3281522601110236,0.3864365236258891,0.05114361823949254,0.7842981760507541,0.6450436161776372,6.713084853291038,1.5002379064234734,0.0171292624900872,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.258819045102521,-0.9659258262890682,0,6,7,19,20,18,2,27,2
5,D,3208742.0,D,Alaves,1108.0,Asier Garitano,4-4-2 double 6,10.0,3.6,4.4,17.0,3.2,0.2,1.2508200000000003,1.2371338,1.0885558,11.667417027417027,4.2,10.475415769065059,3.463110728134425,4.165790607496769,16.197414907367513,3.1352692804825506,0.06700560103403708,1.1136818836708318,1.1735412214390348,1.0988745350107711,11.914893538076647,3.798897027143474,13.0,Atletico Madrid,13.0,Diego Simeone,4-4-2 double 6,10.6,2.2,4.6,15.0,2.8,0.2,1.8797599999999999,1.2590938,1.1104384,9.706383731211316,6.0,10.889875053856096,2.474829814735028,5.096303317535546,14.784075829383887,2.485308056872038,0.07582938388625594,2.0650692322274886,1.4744020310211117,1.2997559275484707,9.532976572871913,5.905144334338647,6.0,-0.5999999999999996,1.4,-0.1999999999999993,2.0,0.40000000000000036,0.0,-0.6289399999999996,-0.02195999999999998,-0.021882600000000085,-1.961033296205711,-1.7999999999999998,-0.4144592847910378,-2.3819169652047343,0.988280913399397,-0.9305127100387773,1.4133390779836255,0.6499612236105126,-0.008823782852218867,-0.9513873485566569,-0.30086080958207684,-0.20088139253769954,-2.1062473071951735,-7.0,7.0,0.5999999999999996,1.4,0.1999999999999993,2.0,0.40000000000000036,0.0,0.6289399999999996,0.02195999999999998,0.021882600000000085,1.961033296205711,1.7999999999999998,0.30086080958207684,0.9513873485566569,0.4144592847910378,2.3819169652047343,0.20088139253769954,2.1062473071951735,0.9305127100387773,1.4133390779836255,0.6499612236105126,0.008823782852218867,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,3,7,15,20,18,2,5,1
6,H,3208762.0,H,Alaves,1108.0,Asier Garitano,4-4-2 double 6,11.2,3.6,4.0,17.8,3.0,0.0,0.80988,1.2098582,1.0612026,10.593032153032153,4.4,10.769115095430886,3.2038286131469915,3.065202097298733,17.990448378196437,2.7236135736567153,0.029491130095099048,0.6366486209217876,1.1054237601987316,0.8228770293375306,9.501025277196096,4.135436953038335,16.0,Real Valladolid,366.0,Sergio,4-4-2 double 6,8.6,3.0,3.2,13.2,3.6,0.0,1.50898,1.3527196,1.0555111999999998,12.513658454834927,3.0,9.651787729095753,3.7448501455403957,3.209883472868806,13.701005982800634,3.3580464401862162,0.0,1.6120783111625216,1.5216536163649983,1.189808707881937,11.458802892909183,3.657305938237776,13.0,2.5999999999999996,0.6000000000000001,0.7999999999999998,4.600000000000001,-0.6000000000000001,0.0,-0.6990999999999999,-0.14286139999999992,0.005691400000000346,1.9206263018027734,1.4000000000000004,1.1173273663351324,1.9577776157130877,-0.5410215323934042,-0.1446813755700731,4.2894423953958025,-0.6344328665295009,0.029491130095099048,-0.975429690240734,-0.41622985616626673,-0.36693167854440645,0.47813101480055886,-3.0,3.0,2.5999999999999996,0.6000000000000001,0.7999999999999998,4.600000000000001,0.6000000000000001,0.0,0.6990999999999999,0.14286139999999992,0.005691400000000346,1.9206263018027734,1.4000000000000004,0.41622985616626673,0.975429690240734,1.1173273663351324,1.9577776157130877,0.36693167854440645,0.47813101480055886,0.1446813755700731,4.2894423953958025,0.6344328665295009,0.029491130095099048,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0,23,7,70,20,18,2,17,2
7,A,3208782.0,D,Alaves,1108.0,Asier Garitano,4-4-2,11.0,3.8,3.8,17.0,2.4,0.0,0.99738,1.3637962,1.0664846000000001,9.086616809116808,4.4,10.228867207864752,4.205131556449744,4.032291462336243,16.32337763828821,2.543210285770631,0.01305085296915927,1.3584385359958964,1.6186619844874268,1.3278841307191627,9.053191176012156,5.397851921239211,13.0,Real Madrid,418.0,Zinédine Zidane,4-3-3 Attacking,17.0,7.4,6.2,11.6,1.2,0.2,2.3851,2.7550272,2.1604332,10.431923195084485,12.0,16.578568857175103,7.695583782171838,5.916694144430695,11.563025374322802,1.2187952949661789,0.07457643788564758,2.212218212556214,2.474405997101122,1.9947902625999996,11.444775962099095,10.339842673776632,2.0,-6.0,-3.6000000000000005,-2.4000000000000004,5.4,1.2,-0.2,-1.3877199999999998,-1.3912309999999999,-1.0939485999999998,1.3453063859676764,-7.6,-6.349701649310351,2.3915847860869395,-3.490452225722094,-1.8844026820944517,4.760352263965409,1.324414990804452,-0.06152558491648831,-0.8537796765603176,-0.8557440126136953,-0.6669061318808369,-4.9419907525374205,-11.0,11.0,6.0,3.6000000000000005,2.4000000000000004,5.4,1.2,0.2,1.3877199999999998,1.3912309999999999,1.0939485999999998,1.3453063859676764,7.6,0.8557440126136953,0.8537796765603176,6.349701649310351,2.3915847860869395,0.6669061318808369,4.9419907525374205,1.8844026820944517,4.760352263965409,1.324414990804452,0.06152558491648831,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0,20,7,80,18,13,2,21,0
8,D,3208802.0,A,Alaves,1108.0,Asier Garitano,4-4-2 double 6,9.0,3.2,4.4,16.8,3.0,0.4,1.0001,1.4532659999999997,1.0072984,10.451443355119826,4.6,7.987194838857981,2.6443489401234523,4.459446522937887,16.922413167529,3.353771935324724,0.6734724973264463,0.7522386693317088,1.0893172091707573,0.7949037391592624,11.148835370087154,3.5072781264639414,15.0,Leganes,1244.0,Javier Aguirre,5-4-1,10.0,4.6,2.4,14.2,3.6,0.2,1.0032,0.8793656000000001,0.8793655999999999,12.5640231990232,3.4,10.754942587087816,5.204024039821145,2.8024984653168596,13.125005929920267,3.2591667958898767,0.09967840579546611,1.0753924634814047,0.9002316067454633,0.8898134289869859,14.21831837783324,4.025922691521884,19.0,-1.0,-1.3999999999999995,2.0000000000000004,2.6000000000000014,-0.6000000000000001,0.2,-0.0031000000000001027,0.5739003999999996,0.12793280000000018,2.112579843903374,1.1999999999999997,-2.7677477482298354,3.0694830077460864,-2.5596750996976927,1.656948057621027,3.797407237608734,0.09460513943484727,0.5737940915309803,-0.3231537941496959,0.18908560242529393,-0.09490968982772352,-0.5186445650579423,4.0,4.0,1.0,1.3999999999999995,2.0000000000000004,2.6000000000000014,0.6000000000000001,0.2,0.0031000000000001027,0.5739003999999996,0.12793280000000018,2.112579843903374,1.1999999999999997,0.18908560242529393,0.3231537941496959,2.7677477482298354,3.0694830077460864,0.09490968982772352,0.5186445650579423,1.656948057621027,3.797407237608734,0.09460513943484727,0.5737940915309803,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,0,14,7,31,20,22,2,4,1
9,D,3208822.0,H,Alaves,1108.0,Asier Garitano,4-4-2 double 6,7.0,2.8,4.2,14.2,3.2,0.4,0.85634,0.9905564,0.8419004000000001,12.400385154061627,2.8,7.438381913219514,2.842066645883612,3.7592802500485947,14.297073888462872,3.268285238692195,0.2990677729030999,0.9175846215250766,0.9753956758238391,0.8446559928545256,13.075389143660981,2.4469617153673915,15.0,Real Betis,150.0,Rubi,4-1-4-1,15.0,4.8,4.6,12.0,2.6,0.0,1.3486799999999999,1.4631342,1.3144782,8.377483414418398,6.0,13.680592505373996,4.045337883650681,4.567803276977021,12.108076603643918,2.8130395846175036,0.0026237533379268926,1.112216525168533,1.1876707549239267,1.1133614085852963,9.08160557331417,4.73927386997173,13.0,-8.0,-2.0,-0.39999999999999947,2.1999999999999993,0.6000000000000001,0.4,-0.4923399999999999,-0.47257780000000005,-0.4725777999999998,-4.022901739643229,-3.2,-6.242210592154482,-3.993783570346812,-1.2032712377670687,-0.8085230269284267,2.1889972848189547,0.4552456540746914,0.29644401956517297,-0.1946319036434564,-0.21227507910008758,-0.26870541573077067,-2.2923121546043386,-2.0,2.0,8.0,2.0,0.39999999999999947,2.1999999999999993,0.6000000000000001,0.4,0.4923399999999999,0.47257780000000005,0.4725777999999998,4.022901739643229,3.2,0.21227507910008758,0.1946319036434564,6.242210592154482,3.993783570346812,0.26870541573077067,2.2923121546043386,0.8085230269284267,2.1889972848189547,0.4552456540746914,0.29644401956517297,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.7071067811865471,-0.7071067811865479,0,19,7,65,20,8,2,7,1
10,A,3208842.0,A,Alaves,1108.0,Asier Garitano,4-4-2 double 6,8.0,2.8,3.4,16.0,4.2,0.4,0.8944199999999999,0.8818377999999999,0.8818378000000001,10.10353830721478,2.8,9.306509316436797,3.485556469558332,4.337631815801761,17.021741113728833,4.341782937609737,0.13286902945377396,1.044975919781098,1.07995885662249,1.0218741803011293,9.996732097315602,3.6434539152145877,14.0,Villarreal,1050.0,Javier Calleja,4-3-3 Attacking,15.6,3.4,4.2,11.8,1.8,0.0,1.65838,1.838542,1.5412554000000003,12.25801406926407,7.0,16.554913882207355,3.870274331819165,3.716141978143166,12.99398540651026,1.9659572391720193,0.0,1.6678287173928332,1.9171117362230625,1.45498939640031,9.453377943564158,7.750739822057513,9.0,-7.6,-0.6000000000000001,-0.8000000000000003,4.199999999999999,2.4000000000000004,0.4,-0.7639600000000001,-0.9567042,-0.6594176000000002,2.154475762049289,-4.2,-7.248404565770558,-0.5433541537514444,-0.3847178622608327,0.6214898376585953,4.027755707218573,2.3758256984377173,0.13286902945377396,-0.6228527976117353,-0.8371528796005725,-0.4331152160991807,-4.107285906842925,-5.0,5.0,7.6,0.6000000000000001,0.8000000000000003,4.199999999999999,2.4000000000000004,0.4,0.7639600000000001,0.9567042,0.6594176000000002,2.154475762049289,4.2,0.8371528796005725,0.6228527976117353,7.248404565770558,0.5433541537514444,0.4331152160991807,4.107285906842925,0.6214898376585953,4.027755707218573,2.3758256984377173,0.13286902945377396,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-0.9659258262890683,-0.25881904510252063,0,27,7,32,20,13,2,1,0
