,shots_last_5_diff,shots_target_last_5_diff,corners_last_5_diff,fouls_last_5_diff,yellow_cards_last_5_diff,red_cards_last_5_diff,xp_last_5_diff,xg_last_5_diff,np_xg_last_5_diff,ppda_last_5_diff,deep_completions_last_5_diff,shots_ewm_5_diff,ppda_ewm_5_diff,shots_target_ewm_5_diff,corners_ewm_5_diff,fouls_ewm_5_diff,yellow_cards_ewm_5_diff,red_cards_ewm_5_diff,xp_ewm_5_diff,xg_ewm_5_diff,np_xg_ewm_5_diff,deep_completions_ewm_5_diff
shots_last_5_diff,14.604011089449175,5.134346679398481,4.550608264183827,-3.7791943982321596,-0.9531920197817662,-0.1319297856640478,1.4981797213374208,1.868854493707193,1.7621795219565948,5.7269326932075755,9.95728140073807,13.5722492209518,5.205264501046941,4.8455200641880785,4.208326000778534,-3.636260042203023,-0.8943813359711847,-0.12137614499677843,1.4175021079345236,1.786327248838579,1.6758277902615035,9.50715815790128
shots_target_last_5_diff,5.134346679398481,3.2636096302149182,1.4674268984534333,-2.029911087666012,-0.42105852145346273,-0.05430888634145212,0.7269462667485578,0.9490422365473403,0.8652488771599164,1.6047968168944462,4.652540598794861,4.819486760268345,1.4552192068024075,3.044260585175413,1.388034299033626,-1.9656749018213133,-0.3956917275922906,-0.04900405013390492,0.6855247992993245,0.8998752736907597,0.8186263616512347,4.459518738436997
corners_last_5_diff,4.550608264183827,1.4674268984534333,3.863858557365029,-1.450139938481617,-0.4718283904199911,-0.05532392573834727,0.460850885563193,0.5229007237503415,0.5123470241832412,3.1770574525860753,3.4268219004522744,4.232116297712175,2.9027184222734594,1.3738381896331462,3.5092608573013213,-1.4211030841110888,-0.44413328694193577,-0.05193910795923128,0.4323247746543014,0.504283888086414,0.49128892378733935,3.257116253978972
fouls_last_5_diff,-3.7791943982321596,-2.029911087666012,-1.450139938481617,11.191263947585533,1.5771814805731215,0.04738437867735008,-0.4312856644679921,-0.7709355233287523,-0.7659963316352014,4.781231392516317,-4.898118925954027,-3.680139368673902,4.4806802147386575,-2.001897703292509,-1.3698928124965142,10.433771479205456,1.483850043628263,0.04374345710083671,-0.4413263168947056,-0.7604954554270812,-0.7517183107140956,-4.781578161038739
yellow_cards_last_5_diff,-0.9531920197817662,-0.42105852145346273,-0.4718283904199911,1.5771814805731215,1.1426499165203234,0.053491892703018816,-0.17312090529210752,-0.18268260654158713,-0.1834548939278816,0.32345305791060547,-1.0386273282556424,-0.9492695597612719,0.2757068040949252,-0.4258224619495955,-0.4425420013158529,1.4678204685471723,1.018241539777677,0.04528433921496637,-0.17048027289011328,-0.18062137202500156,-0.17607811468781073,-1.038665908520234
red_cards_last_5_diff,-0.1319297856640478,-0.05430888634145212,-0.05532392573834727,0.04738437867735008,0.053491892703018816,0.05490694796937579,-0.030369038992758588,-0.02259689115583363,-0.020413600053010204,-0.10739129398362396,-0.10481670245965245,-0.12531697570753006,-0.09281542078441496,-0.04932162599020306,-0.05263112231000912,0.042519160241548185,0.048202549790008105,0.04784488631844788,-0.029184094042790175,-0.021437091472565777,-0.01942376553668811,-0.10811694465886584
xp_last_5_diff,1.4981797213374208,0.7269462667485578,0.460850885563193,-0.4312856644679921,-0.17312090529210752,-0.030369038992758588,0.4046436402731062,0.35360332510372605,0.3187251606810975,0.7978375960556697,1.547252080279609,1.4291502042893096,0.7046475382382064,0.6978474816956015,0.4357465947898465,-0.4295722085323539,-0.1606165276317687,-0.02649211756033886,0.3755597999411058,0.3356435000055794,0.30192257660723937,1.4988887478025275
xg_last_5_diff,1.868854493707193,0.9490422365473403,0.5229007237503415,-0.7709355233287523,-0.18268260654158713,-0.02259689115583363,0.35360332510372605,0.46834489304915156,0.41724067500580736,0.5683413408454634,1.875643465299043,1.7692247993700823,0.5077509854586688,0.9040740634103597,0.4981866519799969,-0.757743683500426,-0.17470527137909475,-0.020303690052453388,0.33044999996030017,0.44028049347216414,0.39165696514052045,1.802141873290674
np_xg_last_5_diff,1.7621795219565948,0.8652488771599164,0.5123470241832412,-0.7659963316352014,-0.1834548939278816,-0.020413600053010204,0.3187251606810975,0.41724067500580736,0.4089556833501882,0.511860134127329,1.781312791600486,1.6709312387457518,0.46884976252180866,0.8278385715680866,0.4904142795936106,-0.7439781799105237,-0.17429108385148534,-0.018072974085396525,0.30012072484370256,0.39517554393511206,0.38430162110221433,1.7169668151247612
ppda_last_5_diff,5.7269326932075755,1.6047968168944462,3.1770574525860753,4.781231392516317,0.32345305791060547,-0.10739129398362396,0.7978375960556697,0.5683413408454634,0.511860134127329,21.79129724159584,4.181080121387757,5.488115107635704,20.18834723162395,1.5530352874688909,2.9973485444938355,4.340675012193564,0.263310604885612,-0.09140716131746829,0.7761972034826994,0.5500111703281292,0.49652269932597165,4.104429987620078
deep_completions_last_5_diff,9.95728140073807,4.652540598794861,3.4268219004522744,-4.898118925954027,-1.0386273282556424,-0.10481670245965245,1.547252080279609,1.875643465299043,1.781312791600486,4.181080121387757,14.725830834894321,9.590700629336629,3.8088729587363246,4.548226684658721,3.2489652332674344,-4.835166251760678,-1.015302925108531,-0.09115445570420744,1.5045024629550583,1.8411535605295477,1.7398499828211482,14.081788300291608
shots_ewm_5_diff,13.5722492209518,4.819486760268345,4.232116297712175,-3.680139368673902,-0.9492695597612719,-0.12531697570753006,1.4291502042893096,1.7692247993700823,1.6709312387457518,5.488115107635704,9.590700629336629,14.735515630345347,5.623562382198747,5.179973133011671,4.5319737172036545,-3.7163758058385654,-0.9503695526154133,-0.13365645917867477,1.5354172999002176,1.921488932383208,1.8030471205412275,10.090830399182103
